Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,DiscountPrice (in Rs),OriginalPrice (in Rs),DiscountOffer,Ratings,Reviews
2296012,Roadster,Bottom Wear,jeans,Men,roadster men navy blue slim fit mid rise clean look jeans,824,1499,45% OFF,3.9,999
13780156,LOCOMOTIVE,Bottom Wear,track-pants,Men,locomotive men black  white solid slim fit track pants,517,1149,55% OFF,4,999
11895958,Roadster,Topwear,shirts,Men,roadster men navy white  black geometric printed sustainable casual shirt,629,1399,55% OFF,4.3,999
4335679,Zivame,Lingerie & Sleep Wear,shapewear,Women,zivame women black saree shapewear zi3023core0nude,893,1295,31% OFF,4.2,999
11690882,Roadster,Western,tshirts,Women,roadster women white solid v neck pure cotton t shirt,,599,35% OFF,4.2,999
2490950,Mast & Harbour,Western,tops,Women,mast  harbour women yellow solid tank top,,599,40% OFF,4.4,999
6744434,HIGHLANDER,Bottom Wear,trousers,Men,highlander men olive green slim fit solid regular trousers,599,1499,60% OFF,3.9,998
8439415,Mayra,Western,tops,Women,mayra pink embroidered a line pure cotton top,,1395,58% OFF,3.7,998
17381394,Roadster,Western,tshirts,Women,roadster women pack of 2 solid t shirts,,1098,,4.3,997
2359257,HERE&NOW,Bottom Wear,jeans,Men,herenow men blue slim fit mid rise clean look ankle length stretchable jeans,,2749,,3.5,996
7695793,HRX by Hrithik Roshan,Sports Wear,tights,Men,hrx by hrithik roshan men rapid dry training tights,1214,2699,55% OFF,4.4,996
10307375,Roadster,Topwear,tshirts,Men,roadster men navy blue  white striped polo collar pure cotton t shirt,,699,,4.1,996
12873874,Anubhutee,Indian Wear,kurta-sets,Women,anubhutee women pink  white printed kurta with trousers  dupatta,1019,3399,70% OFF,4.2,996
11634538,Athena,Western,jumpsuit,Women,athena women black solid basic jumpsuit,,2499,50% OFF,4.3,996
2312181,Roadster,Western,tshirts,Women,roadster women maroon solid round neck t shirt,,799,60% OFF,4,996
13842386,HIGHLANDER,Topwear,shirts,Men,highlander men blue  black slim fit printed casual shirt,516,1099,53% OFF,4.2,995
10473520,Vishudh,Indian Wear,kurtas,Women,vishudh women blue  pink floral print a line kurta,696,1699,59% OFF,4.2,995
10561392,Sangria,Plus Size,kurta-sets,Women,sangria women green  off white printed kurta with palazzos  dupatta,,3999,,4.3,995
12391750,Tokyo Talkies,Western,trousers,Women,tokyo talkies women olive green regular fit solid cargos,,2149,61% OFF,4.1,995
2522986,DressBerry,Western,tshirts,Women,dressberry women lovely olive typography talking tee,,999,75% OFF,4.3,995
17385142,Roadster,Western,tshirts,Women,roadster women pack of 2 printed cotton t shirt,,1298,,4.4,994
12153330,Anouk,Indian Wear,kurtas,Women,anouk women mustard yellow  gold toned printed straight kurta,719,1599,55% OFF,3.8,993
1864573,Enamor,Lingerie & Sleep Wear,bra,Women,enamor black non wired removable pads high coverage medium impact sports bra sb08,,849,,4.2,993
13205276,all about you,Western,shirts,Women,all about you women mauve stretchable casual shirt,,1499,50% OFF,4.2,993
11535928,KASSUALLY,Western,tops,Women,kassually blue floral cinched waist top with puff sleeves,,1299,62% OFF,4.3,992
6552977,RARE,Western,tops,Women,rare women maroon striped top,,1299,57% OFF,4.2,991
9476129,Zastraa,Western,trousers,Women,zastraa women maroon slim fit peg trousers,,2699,70% OFF,4.1,991
2017530,WISSTLER,Western,shorts,Women,wisstler women navy  pink chevron print regular fit shorts,,899,61% OFF,4,991
11173948,Sangria,Plus Size,kurtas,Women,sangria women black  green printed straight kurta,359,899,"60% OFF, Hurry*",4,990
11118428,Roadster,Western,shorts,Women,roadster women blue solid regular fit denim shorts,,1199,55% OFF,4.3,990
17383362,Roadster,Western,tshirts,Women,roadster women green  teal green pack of 2 printed round neck t shirts,,1598,50% OFF,4.2,990
9971493,Vishudh,Western,dresses,Women,vishudh women navy blue  green maxi dress,,2349,65% OFF,4.4,990
7846797,Cottinfab,Western,jumpsuit,Women,cottinfab olive green solid cold shoulder jumpsuit,,2449,65% OFF,4.3,990
10771696,QUIERO,Western,jumpsuit,Women,quiero women maroon wrap detail jumpsuit,,2959,55% OFF,4.3,990
10969948,Roadster,Western,tshirts,Women,roadster women rust pink  white colourblocked round neck pure cotton t shirt with twisted detail,,899,60% OFF,4.1,990
11938872,ELEVANTO,Lingerie & Sleep Wear,bath-robe,Women,elevanto women fuchsia pink solid bath robe,489,999,51% OFF,4.2,989
14154054,Tokyo Talkies,Western,track-pants,Women,tokyo talkies women black solid casual joggers,,1199,49% OFF,4.3,989
2477061,WROGN,Bottom Wear,jeans,Men,wrogn men blue skinny fit mid rise clean look stretchable jeans,1539,2799,45% OFF,4,988
10187401,WROGN,Bottom Wear,jeans,Men,wrogn men black slim fit mid rise clean look stretchable jeans,1429,2599,45% OFF,4.1,988
6791064,HRX by Hrithik Roshan,Sports Wear,track-pants,Men,hrx by hrithik roshan men olive green camo athleisure track pants,759,1899,60% OFF,4,988
12918912,Roadster,Topwear,shirts,Men,roadster men sea green pure cotton sustainable casual shirt,599,1199,50% OFF,4.3,988
11245584,HRX by Hrithik Roshan,Sports Wear,tights,Women,hrx by hrithik roshan black self striped seamless rapid dry yoga tights,594,1699,65% OFF,4,988
8643285,SASSAFRAS,Western,trousers,Women,sassafras women olive green peg trousers,,1599,50% OFF,3.6,988
9451341,her by invictus,Western,tops,Women,her by invictus white  black floral monochrome smart casual top,,1699,30% OFF,4.2,988
7526008,StyleStone,Western,jackets,Women,stylestone women blue solid denim jacket,,1999,55% OFF,4.2,988
11235516,Mayra,Western,tops,Women,mayra women mustard yellow  green ditsy floral printed cinched waist top,,995,58% OFF,4.1,988
10064541,Roadster,Bottom Wear,jeans,Men,roadster men navy blue super skinny fit acid wash clean look stretchable jeans,799,1999,60% OFF,3.8,987
976816,HRX by Hrithik Roshan,Inner Wear &  Sleep Wear,socks,Men,hrx by hrithik roshan men quarter length pack of 3 terry socks,359,599,40% OFF,4.5,987
11269190,Moda Rapido,Topwear,tshirts,Men,moda rapido men olive green  yellow striped cotton pure cotton t shirt,479,1199,60% OFF,4.2,987
10266495,Moda Rapido,Topwear,tshirts,Men,moda rapido men olive green printed round neck pure cotton t shirt,399,999,60% OFF,4,987
8986005,Harpa,Western,tops,Women,harpa women pink printed wrap top,,1199,52% OFF,4,987
10604500,SASSAFRAS,Western,jackets,Women,sassafras women blue solid denim jacket,,1799,65% OFF,4.3,987
11045880,Roadster,Western,jeans,Women,roadster women stunning blue boyfriend fit jeans,,2499,75% OFF,3.7,987
8912653,Kook N Keech Marvel,Western,tshirts,Women,kook n keech marvel women red printed polo collar pure cotton t shirt,,899,65% OFF,3.9,987
10064487,Roadster,Bottom Wear,jeans,Men,roadster men blue slim fit mid rise mildly distressed stretchable jeans,989,2199,55% OFF,3.7,986
2888727,HIGHLANDER,Topwear,shirts,Men,highlander men white slim fit solid casual shirt,587,1249,53% OFF,4.1,986
12150560,plusS,Plus Size,tops,Women,pluss black a line crop pure cotton top,559,1599,65% OFF,4.4,986
2337104,La Zoire,Western,dresses,Women,la zoire maroon georgette maxi dress,,2599,62% OFF,4.3,986
12027772,HIGHLANDER,Topwear,shirts,Men,highlander men black  white slim fit striped casual shirt,493,1049,53% OFF,4.2,985
2429098,HIGHLANDER,Topwear,shirts,Men,highlander men navy  off white slim fit checked casual shirt,699,999,30% OFF,4,985
11530828,anayna,Indian Wear,kurtas,Women,anayna women beige  pink screen print straight kurta,581,1660,65% OFF,4.3,985
130968,Enamor,Lingerie & Sleep Wear,bra,Women,enamor white non wired non padded full coverage everyday bra ab75 ,,779,,4.4,985
8350055,Sangria,Plus Size,kurta-sets,Women,sangria women fuchsia  white layered printed kurta with trousers,2924,4499,35% OFF,4,985
10856472,Roadster,Western,tops,Women,the roadster lifestyle co women black striped top,,1499,60% OFF,4,985
6687412,Roadster,Topwear,shirts,Men,roadster men blue faded denim casual sustainable shirt,,999,,4,984
11174094,Sangria,Indian Wear,dresses,Women,sangria teal blue  coral pink floral print a line dress,799,1999,60% OFF,4.3,984
13141478,Azira,Indian Wear,kurta-sets,Women,azira women green printed kurta with palazzos  dupatta,1429,2599,45% OFF,4.2,984
2439141,Roadster,Western,tshirts,Women,roadster women mustard yellow solid round neck t shirt,,599,60% OFF,4.2,984
11903990,Roadster,Topwear,shirts,Men,roadster men maroon pure cotton sustainable casual shirt,659,1199,45% OFF,4.2,983
12337118,Anouk,Indian Wear,kurta-sets,Women,anouk women green printed kurti with dhoti pants,774,3099,75% OFF,4.2,983
12650884,HERE&NOW,Plus Size,tops,Women,herenow women blue schifilli embroidered pure cotton top,719,1799,"60% OFF, Hurry*",4.2,983
8350425,Sangria,Plus Size,kurtas,Women,sangria women green  yellow printed straight kurta,999,3999,75% OFF,4.2,983
17381750,Roadster,Western,tshirts,Women,roadster women set of 2 printed t shirts,,1998,,4.2,983
6832275,WROGN,Bottom Wear,jeans,Men,wrogn men blue slim fit mid rise clean look stretchable jeans,1539,2799,45% OFF,3.9,982
7256007,Roadster,Topwear,shirts,Men,roadster men grey printed pure cotton sustainable casual shirt,,524,,4.1,982
13035312,Tokyo Talkies,Western,trousers,Women,tokyo talkies women maroon regular fit solid parallel trousers,,1549,58% OFF,4,982
11045892,Roadster,Western,jeans,Women,roadster women stunning blue boyfriend fit stretchable jeans,,2699,75% OFF,3.8,982
11157486,Taavi,Western,tops,Women,taavi white  orange hand block print smocked legacy sustainable pure cotton a line top,,999, 45 % OFF,4.4,982
11363302,WROGN,Topwear,tshirts,Men,wrogn men navy blue striped slim fit cotton pure cotton t shirt,649,1299,50% OFF,4.3,981
12412864,Varanga,Indian Wear,kurtas,Women,varanga women mustard yellow solid straight kurta with thread work,579,1999,71% OFF,4.3,981
7569310,Zivame,Lingerie & Sleep Wear,shapewear,Women,zivame women grey tummy  thigh shaper zi0pssan03agrey,746,995,25% OFF,3.9,981
7102379,HERE&NOW,Plus Size,tops,Women,herenow black ethnic motifs a line top,629,1399,55% OFF,4.2,981
9240973,her by invictus,Western,tops,Women,her by invictus white shirt style top,,1599,35% OFF,4.2,981
12222046,SASSAFRAS,Western,jackets,Women,sassafras women lavender solid cropped jacket,,1799,60% OFF,4.5,981
7772505,STREET 9,Western,jackets,Women,street 9 women white solid crop jacket,,1999,50% OFF,4.3,981
11711920,Mast & Harbour,Western,tshirts,Women,mast  harbour women pink solid round neck t shirt,,799,60% OFF,4.3,981
9262959,Levis,Inner Wear &  Sleep Wear,briefs,Men,levis men pack of 2 solid pure cotton  briefs bf 100ca 2pk,,339,,4.3,980
2888743,HIGHLANDER,Topwear,shirts,Men,highlander men peach coloured slim fit solid casual shirt,562,1249,55% OFF,4,980
13021502,Anubhutee,Indian Wear,kurta-sets,Women,anubhutee women red  off white bandhani print kurta with palazzos,1597,3399,53% OFF,3.9,980
8025483,Dollar Missy,Lingerie & Sleep Wear,briefs,Women,dollar missy women pack of 12 hipster  101s oe po12,1080,1800,40% OFF,4.4,980
9901951,Roadster,Western,sweatshirts,Women,the roadster lifestyle co women orange solid hooded sweatshirt,,1199,70% OFF,4.3,980
11709228,Trend Arrest,Western,tops,Women,trend arrest women red  white floral printed smocked crop peplum top,,1299,30% OFF,4.4,980
11541522,Roadster,Western,jeans,Women,roadster women blue skinny fit high rise clean look stretchable cropped jeans,,1699,55% OFF,4.1,980
10106025,HRX by Hrithik Roshan,Sports Wear,tshirts,Men,hrx by hrithik roshan men navy blue solid training t shirt,359,899,60% OFF,4.3,979
2347572,HIGHLANDER,Topwear,shirts,Men,highlander men blue slim fit solid casual shirt,610,1299,53% OFF,3.8,979
11263958,Tikhi Imli,Indian Wear,sarees,Women,tikhi imli yellow embellished poly georgette saree,899,1998,55% OFF,4,979
7695835,HRX by Hrithik Roshan,Sports Wear,tights,Women,hrx by hrithik roshan women navy solid rapid dry training tights,,1699,,4.3,979
596473,Belle Fille,Western,sweatshirts,Women,belle fille maroon polyester fleece hooded sweatshirt,,1595,60% OFF,3.6,978
8801149,Roadster,Western,jeans,Women,roadster women blue boyfriend fit high rise clean look stretchable jeans,,1999,60% OFF,4.2,978
12193806,Roadster,Western,tshirts,Women,roadster women mustard yellow  black printed round neck t shirt,,599,50% OFF,4.3,978
